links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
10,2,2,2,1.0,1.0,1.0
20,2,2,2,1.0,1.0,1.0
30,2,2,2,1.0,1.0,1.0
40,2,2,3,1.0,1.0,0.0
50,2,2,3,1.0,1.0,0.0
60,2,2,3,1.0,1.0,0.0
70,2,2,3,1.0,1.0,0.0
80,2,2,3,1.0,1.0,0.0
90,2,2,3,1.0,1.0,0.0
100,2,2,3,1.0,1.0,0.0
110,2,2,3,1.0,1.0,0.0
120,2,2,3,1.0,1.0,0.0
130,2,3,3,1.0,0.0,0.0
140,2,3,3,1.0,1.0,0.0
150,2,3,3,1.0,1.0,0.0
160,2,3,3,1.0,1.0,0.0
170,2,3,3,1.0,1.0,0.0
180,2,3,3,1.0,1.0,0.0
190,2,3,3,1.0,0.75,0.0
200,2,3,3,1.0,0.75,0.0
210,2,3,3,1.0,0.75,0.0
220,2,3,3,1.0,0.75,0.0
230,3,3,3,0.0,0.6,0.0
240,3,3,3,0.0,0.6,0.0
250,3,3,3,0.0,0.6,0.0
260,3,3,3,0.0,0.6,0.0
270,3,3,3,0.0,0.6,0.0
280,3,3,3,0.0,0.6,0.0
290,3,3,3,0.0,0.8571428571428571,0.0
300,3,3,3,0.0,0.75,0.0
310,3,3,3,0.0,0.75,0.0
320,3,3,3,0.0,0.75,0.0
330,3,3,3,0.0,0.6666666666666666,0.0
340,3,3,3,0.0,0.6666666666666666,0.0
350,3,3,3,0.0,0.6666666666666666,0.0
360,3,3,3,0.0,0.6,0.0
370,3,3,3,0.0,0.6,0.0
380,3,3,3,0.0,0.6,0.0
390,3,3,3,0.0,0.6,0.0
400,3,3,3,0.0,0.6,0.0
410,3,3,3,0.0,0.6,0.0
420,3,3,3,0.0,0.6,0.0
430,3,3,3,0.0,0.6,0.0
440,3,3,3,0.0,0.6,0.0
450,3,3,3,0.0,0.75,0.0
460,3,3,3,0.0,0.75,0.0
470,3,3,3,0.0,0.75,0.0
480,3,3,3,0.0,0.6923076923076923,0.0
490,3,3,3,0.0,0.6923076923076923,0.0
500,3,3,3,0.0,0.6923076923076923,0.0
510,3,3,3,0.0,0.6923076923076923,0.0
520,3,3,3,0.0,0.6923076923076923,0.0
530,3,3,3,0.0,0.6428571428571429,0.0
540,3,3,3,0.0,0.6,0.0
550,3,3,3,0.0,0.6,0.0
560,3,3,3,0.0,0.5294117647058824,0.0
570,3,3,3,0.0,0.5294117647058824,0.0
580,3,3,3,0.0,0.5294117647058824,0.0
590,3,3,3,0.0,0.5294117647058824,0.0
600,3,3,3,0.0,0.5294117647058824,0.0
610,3,3,3,0.0,0.5294117647058824,0.0
620,3,3,3,0.0,0.5294117647058824,0.0
