links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
100,3,3,3,0.0,0.0,0.0
200,3,3,3,0.0,0.0,0.0
300,4,4,4,0.0,0.16666666666666666,0.0
400,4,4,5,0.0,0.10714285714285714,0.0
500,5,5,6,0.0,0.13043478260869565,0.0
600,5,5,6,0.0,0.15789473684210525,0.0
700,6,5,6,0.0,0.20588235294117646,0.0
800,6,5,8,0.0,0.17355371900826447,0.0
900,9,5,8,0.0,0.17307692307692307,0.0
1000,9,5,8,0.0,0.1722488038277512,0.0
1100,9,5,8,0.0,0.204,0.0
1200,9,6,8,0.0,0.16887417218543047,0.0
1300,9,8,9,0.0,0.1408839779005525,0.0
1400,9,8,10,0.0,0.15529411764705883,0.0
1500,9,8,10,0.0,0.1518987341772152,0.006060606060606061
1600,9,8,10,0.011538461538461539,0.15613382899628253,0.01056338028169014
1700,9,10,10,0.015358361774744027,0.1566068515497553,0.009433962264150943
1800,10,10,10,0.02304147465437788,0.1504424778761062,0.00851063829787234
1900,10,10,10,0.036885245901639344,0.14701986754966886,0.007662835249042145
2000,10,10,11,0.03366583541147132,0.15266272189349112,0.010332950631458095
2100,11,10,11,0.03687150837988827,0.15319148936170213,0.00933609958506224
2200,13,10,11,0.03374233128834356,0.15472779369627507,0.008620689655172414
2300,14,10,12,0.03075489282385834,0.16024518388791595,0.008050089445438283
2400,14,10,12,0.028181041844577284,0.1510966693744923,0.00743801652892562
2500,15,10,14,0.03296703296703297,0.15285171102661596,0.006838905775075988
2600,15,13,14,0.032467532467532464,0.15459610027855153,0.006364922206506365
2700,16,16,16,0.032150033489618215,0.15155440414507773,0.005992010652463382
2800,17,16,16,0.03015075376884422,0.15,0.005600497822028625
2900,19,16,17,0.03176470588235294,0.15093273035613342,0.006952491309385863
3000,26,16,27,0.03401727861771058,0.14832535885167464,0.006507592190889371
3100,36,16,27,0.034760705289672546,0.14954682779456194,0.006048387096774193
3200,36,17,31,0.03670588235294118,0.15663217309501412,0.008430913348946136
3300,36,19,31,0.03584070796460177,0.15810451727192207,0.008003557136505114
3400,38,20,31,0.03519061583577713,0.16199246546672247,0.007553503986571549
3500,38,20,38,0.03803486529318542,0.15977742448330684,0.007125890736342043
3600,38,21,38,0.039518253669552125,0.1591928251121076,0.007868115399025852
3700,48,21,70,0.039685377189846265,0.1599011648429227,0.008547008547008548
3800,48,24,79,0.03966101694915254,0.16476892163429338,0.009048257372654156
3900,50,24,100,0.03969022265246854,0.16103568045468897,0.009475679090334808
4000,50,25,112,0.04224058769513315,0.16276978417266186,0.011666168112473826
4100,51,33,115,0.04179970972423803,0.15992018244013684,0.011958997722095672
4200,51,34,119,0.04232365145228216,0.16251354279523295,0.013828633405639914
4300,51,34,119,0.04424545693968923,0.16113129216398547,0.014793667272255385
4400,51,34,123,0.04530581424616159,0.16230237154150198,0.015621125712868833
4500,53,34,134,0.04716981132075472,0.16135173726796764,0.017789373814041744
4600,61,35,149,0.0494314226038524,0.16225467822911913,0.0170261066969353
4700,87,35,149,0.05126498002663116,0.16270964931387497,0.016304347826086956
4800,104,38,149,0.05368555602897316,0.1644092519274849,0.016338500209467952
4900,146,44,172,0.054567749846719804,0.16276276276276277,0.015681544028950542
5000,147,44,178,0.0553918680023571,0.16188090190788207,0.01571594877764843
5100,151,44,240,0.056667925953910084,0.1631100389682687,0.016152989231340512
5200,163,51,346,0.05825771324863884,0.16004296455424274,0.015546819156540386
5300,165,53,358,0.06053693630461485,0.15759559076817087,0.01656600517687662
5400,186,55,449,0.060498220640569395,0.15734439834024896,0.017473789316025962
5500,198,73,647,0.06032368808239333,0.16042267050912584,0.020127795527156548
5600,270,117,768,0.06005674653215637,0.15818772228235659,0.02117213869285057
5700,456,134,820,0.06112209213927323,0.15897895208240037,0.020913675467220408
5800,504,134,906,0.06352941176470588,0.1584201388888889,0.02238484718037021
5900,545,135,945,0.06278473804100228,0.15990486849468383,0.022515635858234885
6000,679,140,1066,0.06358381502890173,0.16136024928871426,0.022234200242554913
6100,946,140,1078,0.06581571599521341,0.1636791835666623,0.022736181889455115
6200,1139,144,1189,0.06719876416065912,0.16310532304969022,0.023097311624384703
